Date Reported,Incident Site,JIV Date,Terrain,Cause,Estimated Spill Volume (bbl),Recovered Spill Volume (bbl),Clean-up Status,Comments,Photo,JIV Report
"Jan 02, 2019",12'' Imo River2 - Ogale Pipeline at Isi-Etitiuzo_Owaza,"Jan 04, 2019",Land,Sabotage,1.0,,"No recoverable oil found, assessment completed on 08 Feb 2020, clean-up and remediation completed on 29 Jun 2021, site certification planned to be completed in Dec 2021",-,Download,Download
"Jan 03, 2019",10'' Diebucreek-Nunriver Pipeline at Oporoma,"Jan 09, 2019",Land,Sabotage,3.0,,"No recoverable oil found, assessment completed on 02 Feb 2019, clean-up and remediation completed on 27 Jun 2019, site certified on 28 Apr 2022, documentation completed on 03 May 2022",-,Download,Download
"Jan 07, 2019","12"" Oguta -Egbema Pipeline at Umunkwu-Oguta","Jan 11, 2019",Land,Sabotage,410.0,321.0,"Recovery completed on 14 Jan 2019, assessment completed on 21 May 2019, clean-up and remediation completed on 16 Jan 2020, site certified on 02 Sep 2022, documentation completed on 18 Nov 2022",-,Download,Download
"Jan 08, 2019",16'' Nunriver - Kolocreek Pipeline at Aguobiri,"Jan 12, 2019",Land,Sabotage,125.0,81.0,"Recovery completed on 08 Feb 2019, assessment completed on 21 Feb 2019, clean-up and remediation completed on 11 Feb 2020, site certified on 28 Apr 2022, documentation completed on 03 May 2022",-,Download,Download
"Jan 09, 2019",14'' Okordia - Rumuekpe Pipeline at Ula-Ikata,"Jan 13, 2019",Land,Sabotage,535.0,363.0,"Recovery completed on 05 Feb 2019, assessment completed on 01 Jul 2019, clean-up and remediation completed on 07 Apr 2022, site certified on 17 Oct 2022, documentation completed on 21 Oct 2022",-,Download,Download
"Jan 16, 2019",28'' Bomu-Bonny Pipeline at Patrick Waterside,"Jan 16, 2019",Land,Sabotage,3.0,,"No recoverable oil found, assessment completed on 11 Nov 2020, clean-up and remediation planned to be completed in Nov 2022","Stated timeline for clean up is as agreed between NAPIMS , DPR, NOSDRA BODO and Community Representatives; to ensure effective/thorough clean up and certification. The Bod clean up process is managed by an independent mediation Committee (Bodo Mediation Initiative -BNI) comprising amongst others of representatives of federal/state government, regulators, Bodo community and Coalition of NGOs",Download,Download
"Jan 16, 2019",28'' Bomu-Bonny Pipeline at Patrick Waterside,"Jan 16, 2019",Swamp,Sabotage,9.0,,"No recoverable oil found, assessment completed on 12 Nov 2019, clean-up and remediation planned to be completed in Nov 2022","Stated timelines for clean up is as agreed between NAPIMS, DPR, NOSDRA, BODO and Community representatives; to ensure effective/thorough clean -up and certification. The Bodo clean-up process is managed by an independent mediation committee(Bodo Mediation Initiative- BMI) comprising amongst others of representatives of Federal/State Government, regulators, Bodo community and Coalition of NGOs",Download,Download
"Jan 21, 2019","24"" Nkpoku - Bomu Pipeline at Egbalor","Jan 23, 2019",Land,Sabotage,10.0,,"No recoverable oil found, assessment completed on 01 Mar 2019, clean-up and remediation completed on 22 Jun 2022, site certified on 26 Jul 2022, documentation completed on 12 Aug 2022",-,Download,Download
"Jan 22, 2019",20'' Kolocreek - Rumuekpe Pipeline at Rumuekpe,"Jan 22, 2019",Land,Sabotage,0.5,,"Spill was contained on 26 Jan 2019, no recoverable oil found, assessment completed on 27 Aug 2019, clean-up and remediation not required, site certification planned to be completed in May 2023",-,Download,Download
"Jan 26, 2019",6'' Soku - Soku Pipeline at Soku,"Jan 29, 2019",Swamp,Sabotage,1.0,,"Spill was contained on 29 Jan 2019, no recoverable oil found, assessment completed on 10 Aug 2019, clean-up and remediation not required, site certified on 15 Jul 2021, documentation completed on 05 Aug 2022",-,Download,Download
